deck1,deck2,deck3,deck4,outcome
334,147,18,163,2
141,60,18,163,0
77,241,78,213,2
326,214,303,93,3
163,9,163,129,0
336,318,243,321,4
163,213,163,267,2
321,279,192,122,3
72,132,241,336,2
241,241,303,338,3
163,338,163,321,2
132,267,192,147,3
241,243,163,241,1
147,122,163,303,2
78,132,241,163,3
243,163,163,321,1
163,241,122,163,3
241,128,141,91,4
310,141,276,267,4
83,241,210,141,0
326,185,163,228,4
303,147,303,58,0
276,326,83,303,0
185,241,141,310,4
141,128,163,303,1
141,58,228,210,3
91,267,241,147,4
210,267,303,128,4
147,163,276,241,2
83,141,185,141,4
303,241,310,228,1
326,58,141,91,3
276,128,91,303,0
232,239,163,147,3
185,241,272,239,1
147,241,163,303,0
118,163,93,185,0
191,192,58,185,0
244,163,78,142,2
232,163,147,45,1
243,305,141,140,1
213,322,147,160,2
147,246,246,283,1
142,150,301,163,1
79,287,147,243,1
232,243,163,243,4
78,241,163,17,1
69,163,283,227,0
267,163,229,303,0
310,241,188,294,0
334,58,159,163,3
157,147,141,185,1
243,310,78,147,4
147,147,150,241,4
163,132,305,267,4
69,246,163,191,4
241,303,163,118,4
187,163,290,232,1
163,163,243,118,2
58,276,243,85,4
243,147,303,232,3
345,142,334,157,3
185,243,243,267,0
163,163,163,160,2
163,301,163,246,4
147,163,141,78,0
188,272,241,303,4
93,147,303,241,4
185,227,163,163,0
229,239,58,140,2
159,322,117,185,0
185,142,17,79,1
163,150,132,303,1
241,243,191,243,4
147,147,241,163,4
267,287,69,163,4
241,78,239,246,0
147,157,163,147,4
142,163,305,163,4
58,232,232,147,1
243,303,243,241,2
290,294,272,163,2
85,118,93,188,0
163,303,187,163,3
147,58,163,301,4
303,243,283,141,3
267,141,192,283,3
239,163,243,213,0
229,244,227,322,0
140,163,345,185,0
117,160,142,163,4
232,147,150,69,4
241,185,241,147,3
163,163,243,147,3
132,241,163,243,4
163,272,241,163,4
85,287,305,163,4
163,78,232,163,4
246,157,310,303,0
141,239,163,229,1
140,232,283,159,3
147,185,147,239,0
163,118,58,303,4
142,241,58,163,1
334,163,117,241,4
160,303,246,294,0
185,188,147,163,0
283,243,187,78,1
192,345,163,243,2
163,147,267,232,4
147,246,163,287,4
163,191,239,150,4
159,241,147,185,4
241,69,163,147,3
243,272,241,243,4
163,243,305,276,0
241,241,147,163,1
185,160,118,310,0
243,163,58,157,2
303,227,141,243,0
140,163,147,163,1
301,283,239,303,1
163,229,232,185,2
294,243,334,147,1
163,303,118,142,2
290,45,163,267,0
213,78,287,246,0
244,79,185,192,2
147,150,147,246,0
147,163,232,85,3
159,303,185,239,0
58,185,241,163,4
232,283,163,241,4
241,147,191,287,4
267,243,163,163,4
69,243,241,163,1
163,132,243,305,2
142,272,243,163,4
163,118,118,157,0
310,163,118,243,4
188,147,160,290,2
140,239,141,185,1
243,227,163,243,4
303,229,213,163,0
117,163,45,147,0
147,232,163,241,0
85,243,58,272,0
159,243,241,163,1
150,147,232,239,0
147,85,150,243,0
246,160,239,69,2
163,163,303,163,0
163,283,241,241,3
147,185,147,272,3
58,303,191,243,0
185,232,163,142,1
163,241,287,267,1
163,239,243,163,3
163,47,305,321,0
47,329,272,241,2
152,118,305,267,1
241,321,192,72,1
272,163,305,277,2
329,241,118,321,1
305,163,272,152,2
241,163,163,272,2
267,141,163,276,0
321,340,287,279,3
279,163,147,267,3
141,267,109,243,2
276,287,303,183,2
147,243,267,303,4
279,192,163,109,1
276,321,163,267,3
147,303,267,192,2
109,243,267,147,0
290,183,233,290,2
138,192,141,267,1
232,58,60,244,1
58,78,233,232,3
60,183,192,305,2
36,290,141,267,0
233,267,36,60,0
58,141,305,290,0
78,244,290,275,4
192,244,267,233,0
232,290,60,138,0
232,192,58,233,2
192,186,344,147,4
163,336,62,120,4
240,345,241,163,1
192,163,342,321,2
195,152,243,60,2
321,47,160,115,2
344,241,303,205,4
243,58,267,69,4
47,255,157,342,0
147,241,120,243,1
160,69,336,344,4
62,344,303,147,1
321,147,241,321,4
345,243,205,186,4
187,243,342,58,4
267,47,163,192,4
157,192,211,152,1
115,255,147,240,2
163,342,241,344,4
160,147,47,345,4
243,163,147,192,0
60,163,241,115,2
205,58,336,192,0
120,344,267,186,4
69,147,243,163,4
321,187,240,62,4
342,147,195,243,3
310,152,47,255,1
243,160,205,163,4
344,152,163,147,1
241,243,47,241,4
163,147,344,192,1
211,267,62,342,1
69,120,195,321,1
186,321,243,336,0
115,192,187,157,2
243,205,241,47,2
152,147,243,160,2
345,163,241,243,3
64,147,103,310,1
62,147,37,163,3
147,303,314,335,0
331,115,97,159,4
267,93,250,321,0
141,147,160,305,3
214,147,159,37,2
163,250,97,147,0
277,314,93,64,0
140,267,335,141,0
336,303,147,147,4
103,213,62,160,0
277,147,163,305,1
140,147,147,115,4
147,93,331,336,1
97,64,118,303,0
160,214,250,314,3
37,213,321,141,0
147,147,97,267,1
159,305,93,140,1
115,37,277,103,4
310,314,163,336,0
64,335,213,147,2
141,250,62,118,1
267,37,305,310,1
277,331,250,147,4
140,213,303,163,3
314,103,147,118,4
141,159,336,64,2
305,310,93,314,0
163,267,115,250,0
277,37,331,140,0
147,147,97,159,0
305,163,277,147,0
163,267,59,303,0
267,78,188,305,1
294,61,232,241,2
93,59,230,78,0
187,303,45,345,0
60,187,93,267,3
188,303,294,185,2
267,241,305,33,3
345,146,59,336,0
267,232,45,163,1
336,60,290,33,1
230,345,267,61,2
267,78,33,61,3
45,60,294,93,0
147,243,163,267,4
163,69,141,128,4
310,78,183,303,3
45,163,267,141,1
267,155,78,243,1
141,163,203,183,3
321,303,243,163,4
163,69,147,147,0
128,267,78,155,3
267,141,310,243,1
163,147,163,45,1
243,183,78,141,2
155,203,163,303,2
321,141,267,267,2
267,147,310,128,1
163,69,310,321,4
147,141,155,163,0
303,147,78,141,4
128,203,243,45,1
243,183,267,163,3
163,303,128,267,4
243,45,147,141,4
183,321,267,155,4
267,141,69,203,4
163,163,78,310,3
163,44,47,244,0
147,336,163,60,1
243,321,185,163,4
241,185,283,147,0
60,163,44,222,0
243,47,163,185,4
241,93,243,60,0
283,47,336,147,3
321,222,185,163,3
93,163,60,243,0
241,147,163,93,4
326,303,147,269,2
163,210,163,336,1
78,163,241,210,0
163,185,243,163,1
147,210,243,336,0
258,259,64,308,0
30,75,265,127,1
127,166,326,308,2
185,310,243,115,1
147,163,132,243,3
336,243,185,303,0
44,214,328,246,0
310,44,336,243,0
163,163,147,188,4
78,241,243,163,4
243,303,163,163,2
185,203,241,163,0
188,147,185,157,4
157,163,78,243,4
147,147,241,185,2
287,188,102,141,0
143,158,149,310,1
241,243,243,243,0
163,163,147,267,1
158,241,287,163,3
60,61,158,147,0
58,218,277,163,4
163,285,163,221,4
52,147,243,334,4
163,294,115,78,0
108,78,147,60,0
163,179,334,163,0
221,267,78,58,1
163,60,163,267,2
285,147,147,218,4
147,277,147,52,3
243,115,78,344,0
163,243,52,163,0
185,97,163,147,2
221,336,290,163,2
97,336,77,241,1
141,147,290,303,4
267,241,163,163,2
340,345,10,224,3
303,163,305,232,2
287,241,163,211,1
241,163,239,147,0
163,241,192,58,1
24,312,310,163,2
243,239,241,287,4
192,163,24,241,0
241,303,163,310,0
312,305,147,211,1
232,163,163,163,0
305,241,241,241,4
192,310,232,241,0
163,239,58,211,1
147,163,163,243,0
163,287,24,303,3
305,192,241,241,0
67,321,345,243,3
214,78,93,78,1
158,243,163,142,4
60,142,188,152,4
73,303,188,283,4
72,243,192,60,1
78,269,142,163,0
58,158,345,243,4
67,96,206,214,1
96,283,78,163,3
188,72,241,142,4
152,345,158,73,2
163,188,58,192,0
269,60,321,206,4
243,78,241,283,0
163,163,267,188,4
73,78,158,243,0
78,96,303,60,1
96,142,163,188,0
78,163,243,96,3
321,231,287,67,3
115,141,113,147,1
272,187,326,280,4
163,163,78,272,4
280,276,193,179,1
305,141,187,163,4
163,231,141,276,4
163,321,310,272,0
179,67,187,78,0
276,67,113,163,0
310,287,280,163,3
163,141,326,321,4
141,231,78,321,0
163,272,280,179,0
276,163,141,163,0
112,329,317,313,4
18,147,141,163,3
267,188,67,310,2
118,163,303,224,4
163,132,185,267,4
191,239,163,90,0
287,329,141,310,0
163,147,283,132,0
243,188,147,163,2
321,62,147,141,1
163,267,321,241,1
241,141,40,326,4
241,326,331,188,2
138,56,179,118,1
310,329,321,106,0
78,93,211,213,3
213,241,303,159,0
67,163,267,62,3
191,163,213,56,2
303,147,213,287,1
310,331,305,163,4
326,267,241,163,3
303,141,18,163,4
224,132,40,147,4
118,185,188,241,4
159,132,241,239,2
132,141,163,241,0
211,241,147,58,4
310,329,147,321,4
326,163,141,179,2
106,141,321,267,4
303,141,93,138,2
188,118,283,78,2
62,283,147,93,0
213,305,287,67,1
163,331,56,213,0
163,267,279,310,0
163,90,241,163,0
163,141,303,191,4
163,141,40,185,4
132,132,303,241,3
224,321,58,141,0
118,267,267,241,4
188,329,326,18,4
147,147,310,106,3
310,211,321,147,2
132,241,329,321,4
188,141,321,243,1
303,179,239,188,1
279,138,62,305,2
163,141,163,163,4
241,90,163,331,4
179,147,213,310,4
303,93,132,224,4
283,213,163,163,4
56,106,141,287,0
185,321,67,191,1
267,329,141,118,0
163,40,241,188,4
326,267,132,329,4
163,18,241,267,0
58,303,321,118,1
310,241,141,241,2
321,211,147,132,0
159,147,147,188,0
321,163,163,62,0
141,321,163,213,4
241,305,141,163,1
163,147,106,141,0
213,331,132,267,3
56,224,90,283,1
303,303,179,191,4
163,93,78,310,2
141,287,239,279,3
67,159,40,118,2
141,188,138,132,4
321,185,241,326,1
241,329,267,163,2
267,329,58,310,1
241,132,147,118,0
241,18,211,326,2
310,188,321,147,4
243,147,188,303,1
62,267,163,303,4
305,303,185,267,1
224,163,329,163,2
179,321,241,163,3
191,141,147,321,2
241,213,147,213,4
331,78,279,163,1
40,56,310,138,1
141,141,93,90,1
106,211,132,163,0
239,283,141,67,0
147,267,188,159,4
241,188,241,141,2
321,321,132,118,3
118,310,163,241,0
310,326,243,132,3
147,188,303,58,0
62,78,224,321,1
163,56,303,329,1
163,267,163,321,0
305,147,213,241,0
163,305,56,78,0
287,243,187,163,4
93,329,163,147,4
13,303,78,163,4
243,185,267,147,2
163,321,75,147,4
290,163,179,192,0
78,147,287,329,1
147,75,243,290,1
321,163,267,78,4
163,163,187,163,2
179,147,93,13,1
163,303,185,243,0
192,267,187,147,4
147,163,78,75,4
163,321,290,287,0
78,243,163,185,4
163,329,179,303,0
13,243,147,163,0
187,290,78,13,0
75,192,163,163,4
163,329,243,267,3
147,147,303,163,4
243,287,78,93,0
185,147,321,179,0
147,192,147,78,0
163,75,163,163,1
187,267,147,75,1
163,163,241,183,4
283,241,147,149,4
163,149,305,233,3
9,102,303,118,4
232,287,211,301,4
232,243,185,305,0
106,188,185,214,0
188,141,261,188,1
342,141,78,321,3
287,147,267,241,1
321,287,183,61,4
243,147,147,102,3
187,78,303,232,3
321,188,118,287,4
214,261,141,185,2
305,243,185,163,4
267,243,163,289,0
102,232,321,243,4
9,321,141,232,1
243,301,267,287,2
301,241,243,61,4
305,118,118,147,2
303,163,188,211,0
310,185,243,188,4
185,188,78,289,1
106,232,267,321,2
243,118,147,232,1
102,287,303,141,2
163,188,301,187,0
310,141,243,287,3
183,243,188,301,1
243,147,185,303,4
118,243,321,61,0
267,232,118,303,3
163,163,321,243,0
287,283,147,10,0
310,192,141,141,1
61,310,303,163,4
310,147,78,230,1
214,241,214,310,4
58,232,147,78,0
132,138,192,321,1
73,241,239,277,0
61,163,267,241,1
163,141,43,141,2
188,93,326,93,0
163,336,18,138,4
73,138,163,58,2
43,147,58,287,1
267,192,163,188,2
78,336,214,61,0
163,163,310,318,4
232,310,138,214,0
141,18,303,241,3
321,243,230,93,1
283,326,267,321,0
163,147,61,310,4
163,78,78,192,3
277,243,141,310,0
241,10,267,141,1
93,147,239,132,0
163,147,73,163,4
241,287,192,163,2
141,58,163,267,2
310,138,232,93,2
277,318,188,192,4
10,18,78,310,3
61,283,138,243,0
147,303,336,43,4
214,58,243,61,0
310,141,241,78,3
78,132,93,141,2
239,321,163,310,0
141,147,241,326,4
78,141,147,232,2
163,163,239,10,0
163,192,93,283,0
93,192,214,267,0
243,43,277,78,0
241,163,138,61,4
310,188,287,58,0
230,336,147,73,0
318,214,303,326,4
267,310,18,147,4
141,321,61,141,0
267,243,132,163,1
310,321,141,78,0
310,163,138,163,2
141,147,243,310,1
230,93,141,283,3
243,188,232,73,0
78,267,61,163,2
192,58,192,10,2
93,241,277,78,2
43,214,163,287,0
267,310,336,318,1
321,303,310,241,2
147,321,18,326,4
243,61,138,277,0
192,163,43,310,2
147,163,243,43,0
163,188,200,192,1
93,109,329,147,1
192,213,232,109,4
147,329,243,188,2
243,232,260,109,1
188,329,29,109,1
192,183,211,93,1
181,301,147,301,0
185,344,243,27,1
163,188,318,163,1
132,147,305,78,1
301,163,18,185,4
147,163,147,132,3
287,303,163,77,1
163,147,147,27,4
344,163,303,188,0
185,163,181,147,1
318,301,301,132,3
18,163,147,243,3
305,147,77,163,1
318,147,147,344,4
132,243,188,181,4
77,163,301,18,1
303,301,163,185,0
344,132,147,181,2
188,163,243,147,1
303,163,163,147,0
303,244,147,185,1
26,273,163,287,2
232,150,241,257,0
243,187,241,132,0
243,92,147,305,0
211,192,276,303,1
213,163,180,321,4
232,287,132,244,0
241,294,26,243,0
185,147,163,150,4
243,321,303,305,0
192,241,213,243,1
180,257,211,185,4
150,244,92,187,0
132,276,303,183,3
163,150,147,243,4
183,305,192,232,0
321,244,287,241,4
163,257,303,147,0
211,243,294,147,1
26,132,180,92,3
241,232,183,321,0
163,243,243,150,2
301,126,75,78,1
163,163,163,310,0
333,243,58,163,2
243,96,241,18,2
230,267,9,181,4
321,335,213,118,0
290,305,305,230,3
163,141,267,141,1
181,283,163,305,3
75,163,9,241,4
18,213,301,163,2
163,78,321,243,4
305,241,58,141,4
243,230,321,163,4
301,9,333,305,3
163,163,267,126,3
243,181,118,75,0
78,283,290,335,1
126,58,305,321,1
230,333,305,243,0
163,141,243,301,4
305,241,267,163,1
96,75,283,163,2
118,9,163,290,1
141,213,78,163,3
241,305,126,321,1
230,305,283,243,0
58,141,230,305,0
211,141,201,185,1
58,78,147,243,3
87,96,321,241,0
303,310,141,310,1
283,305,241,203,2
187,328,243,73,4
163,310,86,315,0
283,78,147,232,0
209,320,310,67,3
179,147,93,294,4
283,100,66,78,1
239,243,24,303,2
60,277,44,197,0
188,267,29,78,1
18,147,257,9,1
310,147,24,267,1
149,60,100,283,4
67,243,241,87,4
141,187,241,163,4
141,294,328,188,0
73,78,257,147,1
303,147,305,163,4
277,243,185,303,0
78,147,93,239,1
232,66,179,78,3
287,310,241,58,4
9,321,310,201,2
315,44,320,211,1
18,203,310,310,2
29,209,283,283,3
147,78,141,96,4
197,163,147,100,2
241,277,78,149,0
24,283,241,44,2
187,267,87,60,2
67,141,243,303,2
243,283,328,310,4
241,239,305,29,1
294,163,73,287,1
147,310,93,243,4
147,310,310,179,4
78,78,201,58,1
93,185,203,66,4
315,321,232,320,2
9,241,241,60,1
283,163,87,147,4
147,141,67,18,4
257,243,163,188,2
239,243,232,310,1
283,100,78,141,3
78,197,277,310,4
149,96,78,44,2
86,287,93,185,2
147,24,187,147,4
179,328,267,310,4
66,294,209,243,1
303,73,303,241,0
320,203,78,211,2
201,29,283,93,0
18,241,87,197,2
67,147,163,277,0
243,147,149,294,0
78,310,267,241,1
141,100,24,141,3
93,283,78,303,2
96,321,310,283,0
44,257,78,239,1
328,9,78,232,2
188,201,179,147,3
58,185,209,187,0
93,305,73,86,2
315,203,287,303,0
87,241,96,257,0
241,78,147,141,0
243,147,60,78,0
141,67,310,163,3
87,241,243,163,2
75,241,246,18,4
336,246,297,163,4
22,297,87,255,3
147,77,72,192,0
163,188,305,78,4
163,243,106,147,1
290,57,303,118,1
147,163,332,147,1
61,272,163,147,4
78,147,57,163,4
163,76,61,163,2
303,243,147,305,1
185,36,106,147,3
321,163,163,290,1
256,118,72,243,4
188,163,163,163,1
272,256,78,242,0
305,192,118,267,0
147,243,77,147,0
321,106,332,76,1
185,147,243,290,4
57,147,163,272,0
78,192,61,243,1
283,147,163,106,0
163,147,303,188,1
242,72,290,163,0
57,163,272,147,1
287,147,141,241,4
336,51,267,318,0
192,283,62,336,0
192,297,305,163,1
142,294,187,118,0
141,78,204,67,4
301,163,267,185,4
204,66,241,301,4
192,185,287,78,1
147,336,67,267,1
141,297,163,141,1
318,336,322,294,1
118,62,305,267,4
297,185,66,336,4
241,142,283,18,0
336,305,301,147,3
163,267,67,287,4
267,141,118,51,0
318,62,141,78,2
192,322,44,187,0
141,142,336,204,2
294,66,283,147,0
185,336,163,18,4
192,267,301,192,1
322,287,305,141,3
44,78,118,163,0
241,204,267,62,2
297,66,147,141,0
336,185,267,336,1
141,294,163,18,3
297,185,267,18,1
267,18,78,183,1
147,305,163,221,3
241,241,303,224,4
301,67,272,163,3
321,141,67,69,1
58,246,141,213,0
147,267,243,185,2
58,232,241,18,1
188,18,241,58,4
78,243,246,241,1
272,147,232,321,1
147,69,18,301,4
185,183,221,67,0
241,141,267,213,1
213,67,305,58,3
141,58,243,163,4
163,18,331,147,4
58,241,185,147,1
267,18,224,301,0
272,303,69,188,1
305,213,321,246,1
267,141,67,78,4
241,331,243,183,0
303,185,163,141,0
58,147,213,58,1
188,232,267,267,1
18,321,147,141,2
69,224,241,305,0
241,232,18,163,0
243,147,241,331,2
163,241,303,241,0
243,69,163,147,0
185,163,163,163,1
303,303,141,303,0
163,188,78,163,1
163,192,96,287,0
185,243,321,213,3
321,163,303,318,2
303,163,69,141,4
163,18,303,185,2
163,318,188,163,0
163,213,96,321,0
141,163,163,243,4
163,243,303,192,1
287,78,321,147,1
163,303,243,163,3
213,78,303,185,1
163,141,243,188,2
188,69,185,141,4
287,318,163,18,2
303,321,147,192,1
163,163,321,96,3
163,163,321,243,3
188,303,78,163,1
141,163,185,163,0
243,96,188,303,3
18,69,213,163,1
303,141,287,163,1
147,303,163,185,3
69,163,303,303,4
96,243,78,141,0
188,287,163,188,2
147,141,213,163,3
185,321,185,243,0
318,163,163,303,4
243,185,78,163,0
163,303,96,69,1
303,163,243,303,3
192,243,264,147,4
276,267,321,267,1
78,192,329,147,2
69,58,163,243,4
163,147,138,218,1
163,147,163,336,4
60,243,78,241,4
163,163,188,301,1
321,188,163,93,4
230,25,58,163,2
147,241,147,163,3
147,93,243,192,4
241,58,163,321,2
163,188,329,243,0
243,163,78,267,1
336,58,69,60,1
218,163,264,230,4
163,147,188,276,4
25,301,78,163,2
138,163,321,192,3
58,163,147,163,4
163,267,163,78,0
329,163,267,241,1
93,192,241,264,0
243,188,147,276,2
188,336,192,58,0
147,147,218,69,4
243,163,163,60,0
301,243,138,321,0
163,78,321,230,3
163,58,188,163,0
163,147,93,163,3
267,230,243,163,3
192,267,301,147,4
241,264,147,25,4
192,218,188,78,3
243,329,147,163,3
321,78,163,69,0
336,321,241,243,3
276,60,58,138,1
93,301,163,230,2
78,163,147,163,4
163,241,243,58,1
25,163,267,243,2
60,321,188,147,3
267,163,192,163,1
264,336,329,78,3
58,147,188,163,1
69,218,147,276,4
147,267,78,163,2
163,58,163,241,2
163,163,78,163,0
78,163,141,303,1
183,236,264,163,3
267,44,239,163,0
115,115,141,163,3
283,243,243,150,0
163,147,321,200,4
163,321,141,241,4
78,303,321,267,3
303,163,243,141,1
163,163,147,163,4
78,336,321,163,0
58,267,141,163,4
163,241,163,163,1
342,163,147,147,4
163,150,93,321,4
321,163,141,236,3
267,115,141,243,4
44,243,303,264,1
163,115,141,78,4
200,163,283,163,3
163,267,163,163,4
78,241,243,267,0
336,283,163,163,2
321,236,141,78,2
147,163,303,141,1
200,163,342,115,3
141,163,243,183,4
163,115,264,321,2
93,163,243,78,4
141,163,163,78,4
115,163,163,163,4
264,303,267,267,3
241,163,78,283,0
239,236,243,336,2
147,243,58,163,1
321,147,78,183,3
243,141,321,141,1
303,150,342,163,1
163,141,93,44,4
115,183,267,78,2
243,241,163,163,2
163,243,163,141,0
141,163,150,267,1
163,336,78,200,3
163,321,239,264,0
236,283,93,303,1
78,163,321,163,0
141,243,163,147,2
58,163,342,141,0
163,200,283,163,0
163,241,243,141,0
78,163,163,163,1
267,163,163,163,3
163,106,78,303,0
211,310,163,147,1
147,243,303,62,0
163,275,18,78,2
185,61,163,141,0
277,303,290,267,1
163,27,236,183,0
243,318,152,163,4
163,142,147,183,4
232,142,215,305,4
147,305,283,276,0
103,152,61,321,0
303,243,255,93,1
18,303,243,290,0
310,321,103,147,4
342,147,163,163,0
183,163,185,215,3
277,142,142,243,4
318,37,163,232,4
106,305,147,152,1
267,243,93,61,0
243,152,267,303,3
283,303,147,318,0
303,61,78,163,0
141,255,183,211,2
27,78,276,62,0
183,142,342,18,0
27,305,310,163,4
147,215,290,103,0
147,163,303,303,2
303,321,243,243,0
183,142,267,318,2
152,185,283,163,4
147,232,275,236,1
78,163,37,277,4
163,243,163,321,4
152,61,211,106,1
61,147,290,255,4
62,93,305,318,1
303,147,163,267,0
303,342,78,232,1
147,183,18,61,1
93,305,185,275,0
236,303,310,283,1
243,290,321,27,1
243,163,103,163,2
215,37,152,142,2
255,163,142,243,3
183,78,147,243,0
163,277,318,147,4
321,290,276,211,1
318,305,141,152,2
183,342,243,303,1
103,283,27,303,1
290,93,215,183,0
185,303,183,321,0
18,163,267,152,4
232,163,147,147,0
106,275,243,310,1
236,61,277,303,3
243,147,37,163,4
78,142,163,321,0
61,142,305,147,1
318,276,163,255,4
303,267,290,103,3
232,18,185,283,1
342,303,18,103,0
303,287,163,211,1
290,236,78,147,1
163,197,303,147,1
267,301,243,283,2
183,163,60,290,0
163,303,141,321,0
227,78,232,163,2
214,163,276,44,4
260,297,147,147,1
232,203,267,78,0
340,78,267,163,4
44,147,243,163,1
243,150,163,241,1
78,192,232,334,2
135,283,163,163,0
13,301,118,159,4
9,163,163,78,2
243,147,147,290,0
241,243,243,187,4
58,243,5,321,0
336,243,163,243,4
188,60,157,163,4
303,243,187,188,0
163,241,163,78,1
344,243,267,121,0
185,344,243,267,1
301,12,272,163,0
243,157,78,163,4
53,159,277,147,3
245,303,243,303,4
163,305,61,163,0
243,232,303,163,4
301,150,147,303,4
232,297,183,197,4
163,287,147,163,1
241,163,344,58,0
135,147,258,344,1
163,321,236,243,4
163,187,243,78,3
159,267,157,157,0
243,163,243,13,3
163,276,303,78,4
60,301,241,336,4
243,303,44,340,0
118,214,243,163,4
78,163,243,245,3
267,147,303,188,1
147,321,230,301,2
187,147,60,78,1
290,121,163,192,3
163,272,305,336,4
243,243,141,203,2
61,163,78,277,4
163,163,303,185,3
260,67,163,243,1
163,185,12,243,0
267,283,191,9,1
321,185,70,159,0
321,290,163,163,4
241,243,5,78,2
290,163,267,303,3
163,334,227,267,0
147,163,283,163,4
287,147,243,241,1
163,78,301,183,4
236,147,243,297,1
163,159,303,232,1
197,232,321,150,2
245,243,243,13,3
303,192,230,163,0
258,67,147,147,0
243,232,163,163,4
147,344,321,344,4
58,303,135,232,4
5,141,185,283,0
163,163,241,163,4
303,214,243,60,1
78,243,78,301,2
163,243,163,118,0
163,267,276,336,0
267,243,340,61,0
303,283,188,44,4
78,163,157,272,4
163,163,187,336,4
163,243,132,163,0
163,321,157,211,2
163,303,147,227,4
260,267,321,241,1
78,267,163,78,1
334,163,290,185,3
283,290,163,78,4
78,243,267,12,0
121,243,159,60,1
303,70,191,187,2
243,183,147,303,2
163,321,13,267,3
163,163,147,159,4
53,5,163,301,4
157,243,258,163,1
78,147,163,287,3
163,245,241,214,0
321,163,303,243,4
78,163,163,277,2
150,344,232,297,3
243,197,163,232,0
232,232,236,58,4
301,303,243,135,1
163,243,344,147,4
185,147,243,78,0
191,267,147,243,4
192,141,67,267,2
163,185,230,241,1
147,283,336,78,1
272,60,163,188,2
163,163,163,303,4
44,243,336,147,2
187,276,157,283,3
301,267,305,163,4
61,163,118,188,0
243,132,303,147,3
290,290,340,243,2
283,163,78,185,4
243,243,163,243,0
121,303,243,267,3
203,12,187,78,2
78,260,9,334,2
60,163,241,290,1
185,67,147,159,2
147,287,258,185,0
163,243,163,283,2
163,241,267,301,0
163,336,321,5,4
297,78,303,283,4
214,321,13,53,2
243,163,78,243,3
303,303,163,232,1
344,163,163,58,4
61,243,232,183,2
147,147,236,243,1
267,163,243,163,0
340,191,245,147,0
243,163,344,267,2
147,163,157,163,1
277,232,163,243,4
70,150,135,267,1
301,197,187,232,3
9,192,147,163,3
267,243,230,163,0
163,163,78,147,3
78,163,272,301,4
241,163,163,267,0
78,303,60,305,2
187,188,336,283,4
211,163,276,243,2
227,290,243,188,1
290,60,243,203,2
241,12,163,78,3
147,344,147,340,4
13,267,163,150,0
243,163,53,232,0
267,243,163,303,4
185,5,267,287,3
147,303,232,67,0
297,321,163,283,4
159,147,185,258,4
283,163,241,241,1
58,163,336,78,4
60,163,301,276,1
118,78,344,163,2
303,236,163,163,4
321,78,163,243,4
232,243,232,243,3
183,163,321,147,0
267,147,61,243,0
157,197,245,135,1
243,243,192,260,1
78,230,78,163,4
272,243,44,267,0
188,305,132,163,1
227,241,163,78,2
147,163,163,163,1
243,243,147,163,1
13,303,159,344,3
287,147,297,321,1
147,243,163,344,0
301,147,40,239,2
244,303,87,24,0
267,181,321,185,0
183,241,205,13,4
206,243,27,241,4
287,147,147,33,1
243,232,163,244,0
213,163,267,122,1
181,118,134,267,3
232,267,241,241,4
205,163,147,206,3
267,27,321,13,2
141,118,243,147,4
33,78,185,232,3
187,40,303,321,3
232,163,244,301,3
239,147,267,181,3
134,243,87,287,2
24,122,181,232,3
267,232,187,147,4
243,206,267,321,1
321,232,244,267,4
147,87,181,163,1
267,183,232,40,0
241,118,213,205,1
147,13,243,243,4
181,147,185,232,4
122,185,187,78,1
87,232,301,206,4
321,147,321,267,3
187,232,33,118,2
181,244,267,287,0
267,267,163,40,1
147,241,243,243,0
232,13,232,141,2
213,147,134,147,0
147,267,267,206,3
232,181,232,213,4
183,301,33,267,3
163,244,147,244,1
24,187,321,185,2
267,287,232,187,2
40,241,232,147,1
141,205,243,147,2
206,181,321,243,0
87,267,147,232,3
267,301,33,244,0
147,158,185,272,2
127,141,163,78,0
163,121,118,78,0
136,185,272,78,0
185,185,118,127,2
272,214,147,121,3
272,321,78,78,3
243,121,185,321,1
214,141,136,118,0
185,163,78,187,1
118,136,78,147,0
121,163,118,243,0
142,147,290,192,4
290,66,303,115,4
60,344,147,163,4
303,283,163,66,4
141,60,303,303,4
132,115,147,132,4
192,303,181,303,4
115,303,66,283,0
132,132,303,142,1
115,60,132,232,1
241,122,61,147,4
342,232,271,163,3
141,163,344,192,3
163,267,192,305,1
47,163,232,152,0
58,232,267,336,4
271,163,205,163,1
267,163,192,58,1
141,163,305,241,1
303,141,147,246,4
58,328,36,336,1
58,163,78,13,1
160,69,303,45,0
241,301,141,241,2
243,267,147,342,4
163,303,163,267,4
321,303,58,243,0
260,321,135,232,3
243,303,256,224,0
246,342,305,163,0
141,267,163,303,4
328,303,141,243,4
232,267,147,147,4
243,185,160,301,4
303,45,147,305,1
303,321,321,163,3
241,163,141,260,1
224,78,36,241,2
336,58,69,58,0
246,163,243,160,1
45,232,141,328,1
147,305,321,58,2
147,163,36,163,3
267,336,141,267,0
163,303,303,301,0
135,185,13,342,2
303,305,243,260,3
256,241,58,303,4
224,58,241,321,0
163,232,163,321,4
13,160,163,328,0
243,267,260,141,4
336,163,45,246,3
305,224,141,147,4
58,267,147,303,4
243,58,185,303,0
243,303,241,241,0
303,141,303,135,0
232,36,267,160,1
163,13,243,243,1
321,246,141,163,0
163,321,13,36,3
